rank,store_name,address,sido,gugun,win1,latest_round,latest_date
1,인터넷 복권판매사이트,동행복권(dhlottery.co.kr),,,114,1222,2026-05-02
2,부일카서비스,부산 동구 자성로133번길 35,부산,동구,50,1210,2026-02-07
3,스파,서울 노원구 동일로 1493 상계주공아파트(10단지) 주공10단지종합상가111,서울,노원구,44,1111,2024-03-16
4,로또명당인주점,충남 아산시 서해로 519-2,충남,아산시,33,1206,2026-01-10
5,뉴빅마트,부산 기장군 정관중앙로 48 106호,부산,기장군,30,1196,2025-11-01
6,일등복권편의점,대구 달서구 대명천로 220 1층,대구,달서구,29,1188,2025-09-06
7,로또휴게실,경기 용인시 기흥구 용구대로 1885,경기,용인시,27,1209,2026-01-31
8,세진전자통신,대구 서구 서대구로 156,대구,서구,22,1173,2025-05-24
9,목화휴게소,경남 사천시 사천대로 912,경남,사천시,21,1222,2026-05-02
10,잠실매점,서울 송파구 올림픽로 269 잠실역 8번출구 앞 가판,서울,송파구,20,1181,2025-07-19
10,오천억복권방,광주 서구 상무대로 1087,광주,서구,20,1222,2026-05-02
12,알리바이,광주 광산구 수등로 253 1층 알리바이,광주,광산구,17,1214,2026-03-07
12,오케이상사,서울 서초구 신반포로 176 센트럴시티내100호매점,서울,서초구,17,1219,2026-04-11
14,복권백화점,경기 파주시 평화로 70,경기,파주시,16,1217,2026-03-28
14,제이복권방,서울 종로구 종로 225-1 평창빌딩 1층 103호,서울,종로구,16,1149,2024-12-07
16,묵동식품,서울 중랑구 동일로 919,서울,중랑구,14,1213,2026-02-28
16,돈벼락맞는곳,부산 동구 조방로49번길 18-1,부산,동구,14,1190,2025-09-20
16,영화유통(1등복권방),울산 남구 신정로 19 삼성아파트 상가 204-101,울산,남구,14,1189,2025-09-13
19,썬마트,충북 청주시 흥덕구 진재로23번길 25,충북,청주시,13,1204,2025-12-27
19,행운복권방,경기 포천시 솔모루로 86-1,경기,포천시,13,1184,2025-08-09
19,알리바이(나주점),전남 나주시 나주로 142 알리바이,전남,나주시,13,1139,2024-09-28
19,버스판매소,서울 영등포구 영중로 2 1층(영등포동3가),서울,영등포구,13,954,2021-03-13
19,복권명당(서부점),대구 달서구 월배로 452,대구,달서구,13,1218,2026-04-04
24,대박천하마트,인천 부평구 굴포로 48,인천,부평구,12,1170,2025-05-03
25,천하명당복권방,경기 수원시 팔달구 매산로 2,경기,수원시,11,1189,2025-09-13
25,행운복권방 보생당건강원,전북 익산시 무왕로 1268,전북,익산시,11,1186,2025-08-23
25,종합복권슈퍼,경기 시흥시 마유로 336 정일빌딩104,경기,시흥시,11,1168,2025-04-19
25,복권나라,서울 관악구 남부순환로 1739-9,서울,관악구,11,1167,2025-04-12
25,한꿈복권방,울산 중구 번영로 586,울산,중구,11,1160,2025-02-22
25,노다지복권방,경기 용인시 처인구 금령로 130,경기,용인시,11,1152,2024-12-28
25,북마산복권전문점,경남 창원시 마산합포구 북성로 98,경남,창원시,11,1146,2024-11-16
25,라이프마트,인천 중구 연안부두로53번길 36 5호,인천,중구,11,1050,2023-01-14
25,월드24시,서울 은평구 통일로 855-15,서울,은평구,11,1222,2026-05-02
34,메트로센터점,대구 중구 달구벌대로 지하 2100 메트로센터C412호,대구,중구,10,1213,2026-02-28
34,행복충전소,경기 평택시 탄현로 332-2,경기,평택시,10,1210,2026-02-07
34,로또복권두정점,충남 천안시 서북구 두정로 251 대원빌딩104호,충남,천안시,10,1209,2026-01-31
34,미나식품(로또판매점),서울 강서구 금낭화로 91-12,서울,강서구,10,1194,2025-10-18
34,NG24,경북 칠곡군 북중리3길 59,경북,칠곡군,10,1170,2025-05-03
34,행복한사람들 (흥부네),경기 광주시 경충대로 763,경기,광주시,10,1164,2025-03-22
34,또또복권방,전북 익산시 고봉로32길 3,전북,익산시,10,1152,2024-12-28
34,종합가판점,서울 동대문구 왕산로40길 6 건물 앞쪽 가판점 청량리역 5번출구 앞쪽,서울,동대문구,10,1133,2024-08-17
34,올인(allin),경기 화성시 3.1만세로 1147,경기,화성시,10,1119,2024-05-11
34,노다지복권방,인천 미추홀구 한나루로 400 학익시장 외7필지125호,인천,미추홀구,10,1058,2023-03-11
34,갈렙분식한식,서울 중랑구 용마산로115길 92,서울,중랑구,10,1014,2022-05-07
45,노다지복권방,경기 시흥시 복지로 103-1 1층상가,경기,시흥시,9,1212,2026-02-21
45,행운복권방,경기 의정부시 충의로 55,경기,의정부시,9,1207,2026-01-17
45,주택복권방,경기 용인시 수지구 풍덕천로 144-1 103호,경기,용인시,9,1195,2025-10-25
45,팡팡복권마트.잡화슈퍼,전북 전주시 덕진구 가리내로 26,전북,전주시,9,1178,2025-06-28
45,천하명당복권방,경남 거제시 옥포성안로 60,경남,거제시,9,1172,2025-05-17
45,복권전문점,인천 부평구 원적로 437,인천,부평구,9,1113,2024-03-30
45,명당골복권방,경기 수원시 권선구 동수원로242번길 15 104호,경기,수원시,9,1108,2024-02-24
45,현대장미슈퍼,전북 익산시 동서로61길 41 현대아파트1층108호,전북,익산시,9,1103,2024-01-20
45,영광정보통신,서울 성북구 화랑로 92 1층 우측1호,서울,성북구,9,1073,2023-06-24
45,김포로또,경기 김포시 돌문로 48 한솔프라자101,경기,김포시,9,1046,2022-12-17
45,성심상회,경북 포항시 북구 불종로 78,경북,포항시,9,1219,2026-04-11
56,다니엘사,경기 안산시 단원구 원선1로 38 101호,경기,안산시,8,1210,2026-02-07
56,천하명당복권방,충남 홍성군 조양로 180,충남,홍성군,8,1210,2026-02-07
56,대산슈퍼,충남 천안시 동남구 복구정3길 1,충남,천안시,8,1207,2026-01-17
56,빅세일복권방,부산 부산진구 서면문화로 6,부산,부산진구,8,1181,2025-07-19
56,평안당,서울 종로구 종로 219,서울,종로구,8,1173,2025-05-24
56,프로토베팅샵,부산 중구 국제시장2길 5 4호,부산,중구,8,1164,2025-03-22
56,서울로또방,충북 옥천군 삼금로 8,충북,옥천군,8,1162,2025-03-08
56,데이앤나잇,서울 성북구 종암로 132 종암우림카이저팰리스 1층 101호,서울,성북구,8,1158,2025-02-08
56,25시슈퍼,경기 시흥시 함송로14번길 13-17 홍익프라자1층107호,경기,시흥시,8,1142,2024-10-19
56,대성기획,경기 용인시 기흥구 구성로 75-1,경기,용인시,8,1135,2024-08-31
56,중앙로또,경북 칠곡군 북삼로 41 복권판매점,경북,칠곡군,8,1116,2024-04-20
56,로터리편의마트,경북 포항시 북구 서동로 85 육거리,경북,포항시,8,1112,2024-03-23
56,황실복권방,충남 천안시 동남구 충절로 799,충남,천안시,8,1101,2024-01-06
56,북문복권방,경기 수원시 장안구 정조로 927-1,경기,수원시,8,1057,2023-03-04
56,가판점(신문),서울 영등포구 양평로 48,서울,영등포구,8,875,2019-09-07
56,복권방,부산 사하구 장림번영로 25,부산,사하구,8,1221,2026-04-25
56,로또킹,서울 영등포구 영중로 2 1층(영등포동3가),서울,영등포구,8,1222,2026-05-02
56,가판14호,서울 중구 퇴계로 37,서울,중구,8,1222,2026-05-02
74,해피+24시편의점,광주 북구 하서로 330,광주,북구,7,1217,2026-03-28
74,대전우표사,대전 동구 중앙로204번길 16-1,대전,동구,7,1217,2026-03-28
